,,,pack size (where aplicable),Cost,Quant,Total for item,,Link,Notes,,,,,,,
,MOTION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Reinforced Gt2 belt 2M,,,11.58,1,11.58,,https://www.aliexpress.com/item/1005010353468208.html,"printer requires exactly 2.1meters of belt, make sure to buy a little bit more",,,,,,,
,Toothed 20t idler,,4pack,16.14,0,0.00,,https://www.aliexpress.com/item/1005002630474461.html,,,,,,,,
,625 bearings,,1pk,0.1186,16,1.90,,https://jlcmc.com/product/b/C15/BR8364/deep-groove-ball-bearing-double-side-with-dust-cover,,,,,,,,
,5mm couplers,,1pk,1.56,4,6.24,,https://www.aliexpress.com/item/1005008857891214.html,5x5,cheaper than jlc,,,,,,
,5mm dia 11mm shaft,,,0.6632,4,2.66,,https://jlcmc.com/product/s/B08/BACA/linear-shaft-solid-straight-g6-tolerance?k=BACA-C2G1-D5-L11&productModelNumber=BACA-C2G1-D5-L%5B10~500%2F1%5D,,,,,,,,
,5mm dia 50mm shaft,,,0.75,4,3.00,,https://jlcmc.com/product/s/B08/BACA/linear-shaft-solid-straight-g6-tolerance?k=BACA-C2G1-D5-L50&productModelNumber=BACA-C2G1-D5-L%5B10~500%2F1%5D,,,,,,,,
,5mm dia 142mm shaft,,,1.1663,2,2.34,,https://jlcmc.com/product/s/B08/BACA/linear-shaft-solid-straight-g6-tolerance?k=BACA-C2G1-D5-L142&productModelNumber=BACA-C2G1-D5-L%5B10~500%2F1%5D,,,,,,,,
,,,,,,,,,,,,,,,,
,Z1 mgn9c 314mm,,,10.951,1,10.96,,https://jlcmc.com/product/s/B03/E-BMN/economical-linear-guide-mini-standard-type-7-9-12-15?k=E-BMN9H-1-L314-Z1-C-M-E7&productModelNumber=E-BMN9H-1-L%5B45~1400%2F1%5D-Z1-C-M-E%5B0~19%2F0.5%5D,,,,,,,,
,Z1 mgn9c 160mm,,,7.3636,2,14.73,,https://jlcmc.com/product/s/B03/E-BMN/economical-linear-guide-mini-standard-type-7-9-12-15?k=E-BMN9H-1-L160-Z1-C-M-E10&productModelNumber=E-BMN9H-1-L%5B45~1400%2F1%5D-Z1-C-M-E%5B0~19%2F0.5%5D,,,,,,,,
,Z1 mgn9c 224mm,,,8.8442,3,26.54,,https://jlcmc.com/product/s/B03/E-BMN/economical-linear-guide-mini-standard-type-7-9-12-15?k=E-BMN9H-1-L224-Z1-C-M-E12&productModelNumber=E-BMN9H-1-L%5B45~1400%2F1%5D-Z1-C-M-E%5B0~19%2F0.5%5D,,,,,,,,
,,,,,,,,,,,,,,,,
,LDO2504AH,,Inc shipping 4pk,107.87,1,107.87,,https://www.onetwo3d.co.uk/product/ldo-42sth48-2504ahs35r-stepper-motor/,"CAD uses 30mm shaft motors, these are 35mm shaft motors , spacers required",,,,,,,
,,,,,,,,,,,,,,,,
,FRAME,,,,,,,,,,,,,,,
